"Question","Description","Option","Correct answer","Scoring logic","Skill"
"My school treats SEL as an optional add-on.","Feeling that social-emotional learning is viewed as less important than academics or is only addressed occasionally, rather than being integrated into regular teaching and school culture.","1 — [object Object]","","1 · Positively coded (1–5)","Climate"
"My school treats SEL as an optional add-on.","Feeling that social-emotional learning is viewed as less important than academics or is only addressed occasionally, rather than being integrated into regular teaching and school culture.","2 — [object Object]","","2 · Positively coded (1–5)","Climate"
"My school treats SEL as an optional add-on.","Feeling that social-emotional learning is viewed as less important than academics or is only addressed occasionally, rather than being integrated into regular teaching and school culture.","3 — [object Object]","","3 · Positively coded (1–5)","Climate"
"My school treats SEL as an optional add-on.","Feeling that social-emotional learning is viewed as less important than academics or is only addressed occasionally, rather than being integrated into regular teaching and school culture.","4 — [object Object]","","4 · Positively coded (1–5)","Climate"
"My school treats SEL as an optional add-on.","Feeling that social-emotional learning is viewed as less important than academics or is only addressed occasionally, rather than being integrated into regular teaching and school culture.","5","","5 · Positively coded (1–5)","Climate"
"Over the last two weeks, how have you felt about your work?","Examples: using inclusive language, encouraging different perspectives, adapting activities for diverse learners, addressing exclusion or bias, and ensuring all students feel seen and valued.","1 — [object Object]","","1 · Positively coded (1–5)","Wellbeing"
"Over the last two weeks, how have you felt about your work?","Examples: using inclusive language, encouraging different perspectives, adapting activities for diverse learners, addressing exclusion or bias, and ensuring all students feel seen and valued.","2 — [object Object]","","2 · Positively coded (1–5)","Wellbeing"
"Over the last two weeks, how have you felt about your work?","Examples: using inclusive language, encouraging different perspectives, adapting activities for diverse learners, addressing exclusion or bias, and ensuring all students feel seen and valued.","3 — [object Object]","","3 · Positively coded (1–5)","Wellbeing"
"Over the last two weeks, how have you felt about your work?","Examples: using inclusive language, encouraging different perspectives, adapting activities for diverse learners, addressing exclusion or bias, and ensuring all students feel seen and valued.","4 — [object Object]","","4 · Positively coded (1–5)","Wellbeing"
"Over the last two weeks, how have you felt about your work?","Examples: using inclusive language, encouraging different perspectives, adapting activities for diverse learners, addressing exclusion or bias, and ensuring all students feel seen and valued.","5","","5 · Positively coded (1–5)","Wellbeing"
"Over the last two weeks, I felt emotionally drained by work.","Feeling mentally or emotionally exhausted because of work demands, stress, classroom challenges, or interactions during the school day.","1 — [object Object]","","1 · Positively coded (1–5)","Wellbeing"
"Over the last two weeks, I felt emotionally drained by work.","Feeling mentally or emotionally exhausted because of work demands, stress, classroom challenges, or interactions during the school day.","2 — [object Object]","","2 · Positively coded (1–5)","Wellbeing"
"Over the last two weeks, I felt emotionally drained by work.","Feeling mentally or emotionally exhausted because of work demands, stress, classroom challenges, or interactions during the school day.","3 — [object Object]","","3 · Positively coded (1–5)","Wellbeing"
"Over the last two weeks, I felt emotionally drained by work.","Feeling mentally or emotionally exhausted because of work demands, stress, classroom challenges, or interactions during the school day.","4 — [object Object]","","4 · Positively coded (1–5)","Wellbeing"
"Over the last two weeks, I felt emotionally drained by work.","Feeling mentally or emotionally exhausted because of work demands, stress, classroom challenges, or interactions during the school day.","5","","5 · Positively coded (1–5)","Wellbeing"
"In the last two weeks, how often did you handle disciplinary issues?","Examples: classroom disruptions, peer conflicts, unsafe behavior, refusal to follow instructions, disrespectful language, or repeated off-task behavior.","1 — [object Object]","","1 · Positively coded (1–5)","Wellbeing"
"In the last two weeks, how often did you handle disciplinary issues?","Examples: classroom disruptions, peer conflicts, unsafe behavior, refusal to follow instructions, disrespectful language, or repeated off-task behavior.","2 — [object Object]","","2 · Positively coded (1–5)","Wellbeing"
"In the last two weeks, how often did you handle disciplinary issues?","Examples: classroom disruptions, peer conflicts, unsafe behavior, refusal to follow instructions, disrespectful language, or repeated off-task behavior.","3 — [object Object]","","3 · Positively coded (1–5)","Wellbeing"
"In the last two weeks, how often did you handle disciplinary issues?","Examples: classroom disruptions, peer conflicts, unsafe behavior, refusal to follow instructions, disrespectful language, or repeated off-task behavior.","4 — [object Object]","","4 · Positively coded (1–5)","Wellbeing"
"In the last two weeks, how often did you handle disciplinary issues?","Examples: classroom disruptions, peer conflicts, unsafe behavior, refusal to follow instructions, disrespectful language, or repeated off-task behavior.","5","","5 · Positively coded (1–5)","Wellbeing"
"How many of your students can name a feeling using a specific word?"," (for example: frustrated, nervous, disappointed, excited) rather than only saying “good” or “bad.”","1 — [object Object]","","1 · Positively coded (1–5)","Student Outcomes"
"How many of your students can name a feeling using a specific word?"," (for example: frustrated, nervous, disappointed, excited) rather than only saying “good” or “bad.”","2 — [object Object]","","2 · Positively coded (1–5)","Student Outcomes"
"How many of your students can name a feeling using a specific word?"," (for example: frustrated, nervous, disappointed, excited) rather than only saying “good” or “bad.”","3 — [object Object]","","3 · Positively coded (1–5)","Student Outcomes"
"How many of your students can name a feeling using a specific word?"," (for example: frustrated, nervous, disappointed, excited) rather than only saying “good” or “bad.”","4 — [object Object]","","4 · Positively coded (1–5)","Student Outcomes"
"How many of your students can name a feeling using a specific word?"," (for example: frustrated, nervous, disappointed, excited) rather than only saying “good” or “bad.”","5","","5 · Positively coded (1–5)","Student Outcomes"
"How many can calm themselves after a strong emotion without an adult?","Examples: students are able to manage or calm themselves after feeling upset, frustrated, angry, or overwhelmed without needing immediate adult intervention.","1 — [object Object]","","1 · Positively coded (1–5)","Student Outcomes"
"How many can calm themselves after a strong emotion without an adult?","Examples: students are able to manage or calm themselves after feeling upset, frustrated, angry, or overwhelmed without needing immediate adult intervention.","2 — [object Object]","","2 · Positively coded (1–5)","Student Outcomes"
"How many can calm themselves after a strong emotion without an adult?","Examples: students are able to manage or calm themselves after feeling upset, frustrated, angry, or overwhelmed without needing immediate adult intervention.","3 — [object Object]","","3 · Positively coded (1–5)","Student Outcomes"
"How many can calm themselves after a strong emotion without an adult?","Examples: students are able to manage or calm themselves after feeling upset, frustrated, angry, or overwhelmed without needing immediate adult intervention.","4 — [object Object]","","4 · Positively coded (1–5)","Student Outcomes"
"How many can calm themselves after a strong emotion without an adult?","Examples: students are able to manage or calm themselves after feeling upset, frustrated, angry, or overwhelmed without needing immediate adult intervention.","5","","5 · Positively coded (1–5)","Student Outcomes"
"How many students are helpful toward classmates?","Example: shows kindness, cooperation, support, or willingness to help their classmates during classroom activities and interactions.","1 — [object Object]","","1 · Positively coded (1–5)","Student Outcomes"
"How many students are helpful toward classmates?","Example: shows kindness, cooperation, support, or willingness to help their classmates during classroom activities and interactions.","2 — [object Object]","","2 · Positively coded (1–5)","Student Outcomes"
"How many students are helpful toward classmates?","Example: shows kindness, cooperation, support, or willingness to help their classmates during classroom activities and interactions.","3 — [object Object]","","3 · Positively coded (1–5)","Student Outcomes"
"How many students are helpful toward classmates?","Example: shows kindness, cooperation, support, or willingness to help their classmates during classroom activities and interactions.","4 — [object Object]","","4 · Positively coded (1–5)","Student Outcomes"
"How many students are helpful toward classmates?","Example: shows kindness, cooperation, support, or willingness to help their classmates during classroom activities and interactions.","5","","5 · Positively coded (1–5)","Student Outcomes"
"How many students can cope with a setback without it derailing them?","Examples: students are able to handle disappointment, mistakes, failure, or challenges and continue participating, learning, or trying again without becoming overwhelmed or giving up completely.","1 — [object Object]","","1 · Positively coded (1–5)","Student Outcomes"
"How many students can cope with a setback without it derailing them?","Examples: students are able to handle disappointment, mistakes, failure, or challenges and continue participating, learning, or trying again without becoming overwhelmed or giving up completely.","2 — [object Object]","","2 · Positively coded (1–5)","Student Outcomes"
"How many students can cope with a setback without it derailing them?","Examples: students are able to handle disappointment, mistakes, failure, or challenges and continue participating, learning, or trying again without becoming overwhelmed or giving up completely.","3 — [object Object]","","3 · Positively coded (1–5)","Student Outcomes"
"How many students can cope with a setback without it derailing them?","Examples: students are able to handle disappointment, mistakes, failure, or challenges and continue participating, learning, or trying again without becoming overwhelmed or giving up completely.","4 — [object Object]","","4 · Positively coded (1–5)","Student Outcomes"
"How many students can cope with a setback without it derailing them?","Examples: students are able to handle disappointment, mistakes, failure, or challenges and continue participating, learning, or trying again without becoming overwhelmed or giving up completely.","5","","5 · Positively coded (1–5)","Student Outcomes"
"When conflicts arise, students most often:","   This question asks about the ways students usually respond or behave when disagreements, misunderstandings, or conflicts happen in the classroom or with peers.","1 — [object Object]","","1 · Reverse coded (1–4)","Student Outcomes"
"When conflicts arise, students most often:","   This question asks about the ways students usually respond or behave when disagreements, misunderstandings, or conflicts happen in the classroom or with peers.","2 — [object Object]","","2 · Reverse coded (1–4)","Student Outcomes"
"When conflicts arise, students most often:","   This question asks about the ways students usually respond or behave when disagreements, misunderstandings, or conflicts happen in the classroom or with peers.","3 — [object Object]","","3 · Reverse coded (1–4)","Student Outcomes"
"When conflicts arise, students most often:","   This question asks about the ways students usually respond or behave when disagreements, misunderstandings, or conflicts happen in the classroom or with peers.","4","","4 · Reverse coded (1–4)","Student Outcomes"
